Hole_ID,Easting,Northing,Elevation,Az,Dip,Length,Type,Zone,Year
CB1,765104,2173271,128,90,-60,169.16,RC,El Porvenir,1998
CB2,765362,2173293,109,270,-50,194.00,RC,El Porvenir,1998
CB3,765562,2173207,99,270,-50,154.00,RC,El Porvenir,1998
CB4,765610,2173454,106,270,-50,145.00,RC,El Porvenir,1998
CB5,765901,2171929,122,270,-50,168.00,RC,Los Banos,1998
CB6,765747,2171905,129,90,-50,102.10,RC,Los Banos,1998
CB7,765933,2171837,104,105,-50,151.00,RC,Los Banos,1998
CB8,766011,2172043,92,270,-60,145.00,RC,Los Banos,1998
CB9,765734,2172224,124,90,-50,136.00,RC,Los Banos,1998
CB10,765614,2172265,111,90,-50,145.00,RC,Los Banos,1998
CB11,765610,2172215,111,270,-55,172.00,RC,Los Banos,1998
CB12,765291,2172382,150,90,-50,114.29,RC,Los Banos,1998
CB13,765688,2172420,97,90,-55,123.44,RC,Los Banos,1998
CB14,765553,2171979,135,90,-45,99.00,RC,Los Banos,1998
CB15,766300,2171393,110,270,-50,145.00,RC,Los Banos,1998
CB16,765483,2172203,118,270,-55,130.00,RC,Los Banos,1998
CB17,765681,2172000,145,270,-55,102.10,RC,Los Banos,1998
DDHO4CB1,765276,2173284,122,270,-60,300.23,DDH,El Porvenir,2004
DDHO4CB2,765431,2173349,125,90,-60,215.80,DDH,El Porvenir,2004
CBO2-01,764890,2172700,120,0,-90,269.00,DDH,El Porvenir,2002
CBO2-02,764644,2173050,250,0,-90,302.00,DDH,El Porvenir,2002
CBO2-03,764673,2173667,120,0,-90,343.00,DDH,El Porvenir,2002
CBO2-04,765530,2172500,120,0,-90,231.30,DDH,Los Banos,2002
CBO2-08,765461,2173421,120,90,-50,90.00,DDH,El Porvenir,2002
CBO2-09,765493,2173536,120,90,-50,73.00,DDH,El Porvenir,2002
08-CBCN-019,763782,2175938,222,180,-50,187.45,DDH,Norte,2008
08-CBCN-021,763478,2175808,268,180,-50,108.20,DDH,Norte,2008
08-CBCN-022,763622,2175856,244,180,-50,304.19,DDH,Norte,2008
08-CBCN-023,765278,2173305,122,180,-50,295.13,DDH,El Porvenir,2008
08-CBCN-024,763660,2176100,285,180,-50,229.20,DDH,Norte,2008
08-CBCN-025,765278,2173305,112,180,-75,318.51,DDH,El Porvenir,2008
08-CBCN-026,765117,2173330,117,180,-50,349.91,DDH,El Porvenir,2008
08-CBCN-027,765527,2173307,112,360,-60,272.80,DDH,El Porvenir,2008
08-CBCN-028,765117,2173331,177,180,-75,403.86,DDH,El Porvenir,2008
09-CBCN-042,764030,2175985,210,180,-55,367.89,DDH,Norte,2009
EC-12-001,765607,2173456,116,270,-40,206.04,DDH,El Porvenir,2012
EC-12-002,765607,2173456,116,270,-65,611.43,DDH,El Porvenir,2012
EC-12-003,765276,2173284,111,90,-75,651.05,DDH,El Porvenir,2012
EC-13-004,765352,2173286,108,230,-50,710.18,DDH,El Porvenir,2013
EC-13-005,765352,2173286,108,230,-72,1050.34,DDH,El Porvenir,2013
