Drill Hole,Zone,From (m),To (m),Length (m),Cu %,Au (g/t)
CB1,El Porvenir,0.00,169.16,169.16,0.15,0.22
CB2,El Porvenir,153.92,181.35,27.43,0.16,0.41
CB4,El Porvenir,96.01,144.77,48.76,0.12,1.19
CB4 (including),El Porvenir,96.01,108.20,12.19,0.37,3.83
CB5,Los Banos,18.29,33.53,15.24,0.12,1.63
CB5,Los Banos,83.82,102.10,18.28,0.12,0.47
CB6,Los Banos,33.53,102.10,68.57,0.05,0.21
CB6 (including),Los Banos,39.62,48.77,9.15,0.10,0.47
CB7,Los Banos,0.00,109.72,109.72,0.04,0.12
CB13,Los Banos,65.53,123.44,57.91,0.05,0.33
CB15,Los Banos,35.05,57.91,22.86,0.05,0.38
CB17,Los Banos,1.52,76.20,74.68,0.07,0.27
DDHO4CB1,El Porvenir,2,300,298,0.16,0.38
08-CBCN-019,Norte,9.14,100.58,91.44,0.08,0.13
08-CBCN-019 (including),Norte,146.30,187.45,41.15,0.27,0.42
08-CBCN-021,Norte,80.77,92.55,11.78,0.08,0.10
08-CBCN-022,Norte,44.80,304.19,259.39,0.14,0.19
08-CBCN-022,Norte,248.10,281.33,33.23,0.21,0.21
08-CBCN-022 (including),Norte,132.89,187.60,54.71,0.20,0.30
08-CBCN-023,El Porvenir,1.18,131.06,129.88,0.12,0.15
08-CBCN-024,Norte,56.38,89.91,33.53,0.02,0.46
08-CBCN-025,El Porvenir,10.66,318.51,307.85,0.10,0.10
08-CBCN-026,El Porvenir,24.38,335.28,310.90,0.11,0.17
08-CBCN-027,El Porvenir,91.44,272.8,181.36,0.08,0.10
08-CBCN-027 (including),El Porvenir,91.44,115.82,24.38,0.18,0.16
08-CBCN-028,El Porvenir,0.00,403.86,403.86,0.11,0.15
O9CBCN-042,Norte,224.64,361.8,137.16,0.11,0.10
EC-12-001,El Porvenir,69.7,71.0,1.3,0.66,1.63
EC-13-004,El Porvenir,398,643,245,0.18,0.25
EC-13-004 (including),El Porvenir,424,456,32,0.41,0.82
